CODI_DISTRICTE,DISTRICTE,ANY_DATA_TANCAMENT,DETALL,BARRI,FITXA_ID,LATITUD,AREA,COORDENADA_Y,COORDENADA_X,LONGITUD,DIA_DATA_ALTA,CANALS_RESPOSTA,NUMERO,ELEMENT,SECCIO_CENSAL,MES_DATA_TANCAMENT,TIPUS_VIA,ANY_DATA_ALTA,MES_DATA_ALTA,SUPORT,CARRER,CODI_BARRI,_id,TIPUS,DIA_DATA_TANCAMENT
2,Eixample,2019,Semàfor incidències,Sant Antoni,803654,41.37584,Manteniment de l'espai urbà,4580827,429163,2.15289,30,EMAIL,6,Semàfors,150,1,Carrer,2018,12,MÒBIL,Sepúlveda,10,1,INCIDENCIA,1
7,Horta-Guinardó,2019,Semàfor incidències,el Baix Guinardó,803659,41.41345,Manteniment de l'espai urbà,4584993,430069,2.16325,31,EMAIL,75,Semàfors,19,1,Carrer,2018,12,TELÈFON,Camèlies,33,2,INCIDENCIA,1
8,Nou Barris,2019,Fuita aigua neta de companyia o particular,el Turó de la Peira,803648,41.43067,Manteniment de l'espai urbà,4586898,430842,2.17227,31,NO VOL RESPOSTA,0,Fuites d'aigua neta,43,1,Passatge,2018,12,TELÈFON,Grau,46,3,INCIDENCIA,1
6,Gràcia,2019,Vorera tapa,la Vila de Gràcia,803647,41.40461,Manteniment de l'espai urbà,4584019,429317,2.15436,31,EMAIL,163,Voreres,39,1,Carrer,2018,12,TELÈFON,Torrent de l'Olla,31,4,INCIDENCIA,1
10,Sant Martí,2019,Contenidors brossa neta desplaçat,Sant Martí de Provençals,803646,41.41675,Recollida i neteja de l'espai urbà,4585334,432851,2.19649,31,EMAIL,260,Recollida brossa neta,111,1,Carrer,2018,12,TELÈFON,Provençals,72,5,INCIDENCIA,1
2,Eixample,2019,Vorera tapa,l'Antiga Esquerra de l'Eixample,803653,41.38494,Manteniment de l'espai urbà,4581835,429387,2.15546,31,NO VOL RESPOSTA,128,Voreres,97,1,Carrer,2018,12,TELÈFON,Aragó,8,6,INCIDENCIA,1
2,Eixample,2019,Objectes a netejar / retirar,Sant Antoni,803658,41.38179,Recollida i neteja de l'espai urbà,4581478,430041,2.16332,1,NO VOL RESPOSTA,35,Neteja carrers i/o places,166,1,Ronda,2019,1,TELÈFON,Sant Antoni,10,7,INCIDENCIA,1
1,Ciutat Vella,2019,Objectes a netejar / retirar,el Raval,803657,41.37984,Recollida i neteja de l'espai urbà,4581255,430726,2.17153,1,EMAIL,15,Neteja carrers i/o places,6,1,Carrer,2019,1,TELÈFON,Junta de Comerç,1,8,INCIDENCIA,1
7,Horta-Guinardó,2019,"Orins, excrements humans",el Guinardó,803656,41.4225,Recollida i neteja de l'espai urbà,4585987,431265,2.17744,1,EMAIL,220,Neteja carrers i/o places,44,1,Ronda,2019,1,MÒBIL,Guinardó,35,9,INCIDENCIA,1
8,Nou Barris,2019,Recollida mobles abandonats al carrer,la Prosperitat,803655,41.44005,Recollida i neteja de l'espai urbà,4587933,431416,2.17902,1,EMAIL,3,Recollida de mobles i trastos vells,85,1,Plaça,2019,1,MÒBIL,Prosperitat,52,10,INCIDENCIA,1
3,Sants-Montjuïc,2019,Objectes a netejar / retirar,Sants,803651,41.37748,Recollida i neteja de l'espai urbà,4581026,427429,2.13213,1,SMS,74,Neteja carrers i/o places,92,1,Carrer,2019,1,TELÈFON,Miquel Àngel,18,11,INCIDENCIA,1
2,Eixample,2019,Recollida animals morts espai públic,la Sagrada Família,803650,41.40288,Recollida i neteja de l'espai urbà,4583811,431023,2.17479,1,EMAIL,408,Recollida animals morts,51,1,Carrer,2019,1,TELÈFON,Mallorca,6,12,INCIDENCIA,1
4,Les Corts,2019,Falla subministrament,Pedralbes,803649,41.39135,Manteniment de l'espai urbà,4582579,426097,2.11602,1,NO VOL RESPOSTA,0,Emergència ciutat,55,1,Avinguda,2019,1,ALTRES SUPORTS,Pedralbes,21,13,INCIDENCIA,1
,,2019,Gaseta Municipal,,803652,,Consultes web,,,,1,EMAIL,,Gaseta Municipal,,1,,2019,1,WEB,,,14,CONSULTA,1
,,2019,Consulta document planejament aprovat,,804072,,Urbanisme,,,,18,EMAIL,,Planejament urbanístic,,1,,2018,10,WEB,,,15,CONSULTA,2
,,2019,No ha rebut resposta,,804077,,"Informació, tràmits i atenció al ciutadà",,,,2,EMAIL,,Incidències instàncies i fulls de queixes,,1,,2018,11,TELÈFON,,,16,INCIDENCIA,2
,,2019,Disconforme servei neteja pintades/cartells,,803761,,Recollida i neteja de l'espai urbà,0,0,,10,CARTA,,Pintades / cartells,,1,,2018,11,TELÈFON,,,17,QUEIXA,2
,,2019,Carpeta ciutadà,,803913,,Portal de tràmits,,,,16,EMAIL,,Relacions amb l'Ajuntament,,1,,2018,11,WEB,,,18,CONSULTA,2
,,2019,Incidències notificació electrònica DEV,,804089,,Hisenda,,,,22,EMAIL,,Notificacions,,1,,2018,11,WEB,,,19,INCIDENCIA,2
2,Eixample,2019,Activitats comercials  i industrials,la Sagrada Família,803863,41.40991,Prevenció i seguretat,4584590,431145,2.17617,22,EMAIL,294,Molèsties soroll a la via pública,38,1,Carrer,2018,11,WEB,Cartagena,6,20,QUEIXA,2
,,2019,Incidències notificació electrònica DEV,,804100,,Hisenda,,,,23,EMAIL,,Notificacions,,1,,2018,11,WEB,,,21,INCIDENCIA,2
,,2019,Carpeta ciutadà,,804102,,Portal de tràmits,,,,23,EMAIL,,Relacions amb l'Ajuntament,,1,,2018,11,WEB,,,22,CONSULTA,2
,,2019,Carpeta ciutadà,,804106,,Portal de tràmits,,,,23,EMAIL,,Relacions amb l'Ajuntament,,1,,2018,11,WEB,,,23,CONSULTA,2
,,2019,Portal de tràmits,,804107,,Portal de tràmits,,,,24,EMAIL,,Relacions amb l'Ajuntament,,1,,2018,11,WEB,,,24,CONSULTA,2
,,2019,Portal de tràmits,,804111,,Portal de tràmits,,,,26,EMAIL,,Relacions amb l'Ajuntament,,1,,2018,11,WEB,,,25,CONSULTA,2
,,2019,Incidències notificació electrònica DEV,,804114,,Hisenda,,,,26,EMAIL,,Notificacions,,1,,2018,11,WEB,,,26,INCIDENCIA,2
,,2019,Altres,,803746,,Esports,,,,27,EMAIL,,Subvencions esportives,,1,,2018,11,TELÈFON,,,27,SUGGERIMENT,2
