CODI_DISTRICTE,DISTRICTE,ANY_DATA_TANCAMENT,DETALL,BARRI,FITXA_ID,LATITUD,AREA,COORDENADA_Y,COORDENADA_X,LONGITUD,DIA_DATA_ALTA,CANALS_RESPOSTA,NUMERO,ELEMENT,SECCIO_CENSAL,MES_DATA_TANCAMENT,TIPUS_VIA,ANY_DATA_ALTA,MES_DATA_ALTA,SUPORT,CARRER,CODI_BARRI,_id,TIPUS,DIA_DATA_TANCAMENT
1,Ciutat Vella,2017,Objectes a netejar / retirar,"Sant Pere, Santa Caterina i la Ribera",1125697,41.38507,Recollida i neteja de l'espai urbà,4581827,431713,2.183276,1,SMS,1,Neteja carrers i/o places,44,1,Carrer,2017,1,TELÈFON,Antic de Sant Joan,4,22,INCIDENCIA,1
,,2017,Rec. animals morts en espais privats,,1125688,,Gestions municipals,,,,1,IMMEDIATA,,Recollida i neteja de l'espai urbà,,1,,2017,1,TELÈFON,,,23,PETICIO DE SERVEI,1
1,Ciutat Vella,2017,Recollida mobles abandonats al carrer,"Sant Pere, Santa Caterina i la Ribera",1125690,41.385807,Recollida i neteja de l'espai urbà,4581912,431361,2.179051,1,IMMEDIATA,5,Recollida de mobles i trastos vells,47,1,Carrer,2017,1,TELÈFON,Colomines,4,24,INCIDENCIA,1
8,Nou Barris,2017,Mobiliari esportiu/lleure espai obert nou/canvi lloc,la Guineueta,1125823,41.436828,Manteniment de l'espai urbà,4587585,430480,2.16787,8,EMAIL,0,Elements esportius  / lleure espai obert,215,1,Parc,2016,11,INSTÀNCIA,Central de Nou Barris,48,25,SUGGERIMENT,2
8,Nou Barris,2017,Contenidor escombraries canvi de lloc,Porta,1125786,41.43072,Recollida i neteja de l'espai urbà,4586899,431325,2.178062,17,EMAIL,47,Recollida brossa domiciliària,23,1,Carrer,2016,11,WEB,Emili Roca,45,26,SUGGERIMENT,2
8,Nou Barris,2017,Contenidors brossa neta canvi de lloc,el Turó de la Peira,1125787,41.43321,Recollida i neteja de l'espai urbà,4587182,430638,2.169805,18,EMAIL,34,Recollida brossa neta,40,1,Carrer,2016,11,TELÈFON,Aneto,46,27,SUGGERIMENT,2
1,Ciutat Vella,2017,Més presència als carrers,"Sant Pere, Santa Caterina i la Ribera",1125747,,Prevenció i seguretat,,,,20,EMAIL,,Actuació guàrdia urbana,55,1,,2016,11,WEB,,4,28,SUGGERIMENT,2
8,Nou Barris,2017,Contenidor escombraries canvi de lloc,Vallbona,1125789,41.46552,Recollida i neteja de l'espai urbà,4590756,431993,2.185613,22,SMS,51,Recollida brossa domiciliària,116,1,Carrer,2016,11,TELÈFON,Oristà,56,29,SUGGERIMENT,2
7,Horta-Guinardó,2017,Queixes i suggeriments altres projectes urbans,la Teixonera,1125949,41.423374,"Urbanisme, obres i habitatge",4586112,428395,2.14308,23,EMAIL,5,Altres projectes urbanístics a la ciutat,88,1,Plaça,2016,11,WEB,Numen Mestre,38,30,SUGGERIMENT,2
,,2017,Mesures substitutòries de sancions de trànsit,,1125977,,Civisme,,,,23,EMAIL,,Civisme,,1,,2016,11,WEB,,,31,CONSULTA,2
,,2017,Sol.licitud servei,,1125900,,Prevenció i seguretat,,,,25,EMAIL,,Actuació guàrdia urbana,,1,,2016,11,WEB,,,32,SUGGERIMENT,2
,,2017,Sol·licitud targeta vehicle elèctric,,1125857,,Gestions municipals,,,,18,EMAIL,,Mobilitat,,1,,2016,12,WEB,,,84,PETICIO DE SERVEI,2
8,Nou Barris,2017,Vorera incidències,Verdun,1125802,41.443106,Manteniment de l'espai urbà,4588275,431184,2.176215,28,CARTA,74,Voreres,76,1,Carrer,2016,11,INSTÀNCIA,Viladrosa,51,33,INCIDENCIA,2
8,Nou Barris,2017,Solar municipal brut,Can Peguera,1125816,41.435795,Recollida i neteja de l'espai urbà,4587473,430190,2.164409,28,NO VOL RESPOSTA,83,Neteja solar municipal,49,1,Carrer,2016,11,TELÈFON,Bellcaire,47,34,INCIDENCIA,2
8,Nou Barris,2017,Parcs jardins i zones verdes nova/canvi de lloc,Porta,1125807,41.43271,Manteniment de l'espai urbà,4587118,431564,2.180892,28,EMAIL,1,Parcs jardins i zones verdes,29,1,Passeig,2016,11,INSTÀNCIA,Andreu Nin,45,35,SUGGERIMENT,2
8,Nou Barris,2017,Vorera incidències,Torre Baró,1125796,41.459219,Manteniment de l'espai urbà,4590060,431643,2.1815,28,EMAIL,2,Voreres,108,1,Carrer,2016,11,MÒBIL,Llerona,54,36,INCIDENCIA,2
8,Nou Barris,2017,Vorera incidències,Torre Baró,1125840,41.45426,Manteniment de l'espai urbà,4589517,430896,2.172622,29,EMAIL,11,Voreres,109,1,Carrer,2016,11,MÒBIL,Castellví,54,37,INCIDENCIA,2
8,Nou Barris,2017,Espais privats incidències,Torre Baró,1125832,41.454272,Manteniment de l'espai urbà,4589518,430891,2.172566,29,EMAIL,11,Espais privats,109,1,Carrer,2016,11,MÒBIL,Castellví,54,38,INCIDENCIA,2
8,Nou Barris,2017,Parcs jardins i zones verdes nova/canvi de lloc,Porta,1125828,41.431664,Manteniment de l'espai urbà,4587001,431607,2.181426,29,EMAIL,8,Parcs jardins i zones verdes,29,1,Avinguda,2016,11,WEB,Rio de Janeiro,45,39,SUGGERIMENT,2
8,Nou Barris,2017,Vorera incidències,Ciutat Meridiana,1125822,41.461375,Manteniment de l'espai urbà,4590301,431431,2.178935,29,SMS,0,Voreres,112,1,Plaça,2016,11,TELÈFON,Roja de la Ciutat Meridiana,55,40,INCIDENCIA,2
8,Nou Barris,2017,Vorera incidències,Canyelles,1125820,41.443358,Manteniment de l'espai urbà,4588308,430706,2.170492,29,SMS,81,Voreres,64,1,Via,2016,11,MÒBIL,Favència,49,41,INCIDENCIA,2
8,Nou Barris,2017,Barana nova,Torre Baró,1125837,41.453742,Manteniment de l'espai urbà,4589460,430823,2.171756,29,EMAIL,36,Baranes,109,1,Carrer,2016,11,MÒBIL,Lliçà,54,42,SUGGERIMENT,2
,,2017,Atenció Serveis Socials a persones sense sostre,,1126002,,Serveis socials,,,,29,EMAIL,,Problemàtiques socials a l'espai públic,,1,,2016,11,INSTÀNCIA,,,43,SUGGERIMENT,2
10,Sant Martí,2017,Vehicles motor disciplina viària,el Parc i la Llacuna del Poblenou,1126025,41.392027,Mobilitat,4582596,432046,2.187165,7,EMAIL,2,Vehicles a motor,48,1,Avinguda,2016,12,WEB,Meridiana,66,68,QUEIXA,2
7,Horta-Guinardó,2017,Enllumenat petició més llum,el Guinardó,1125966,41.416515,Manteniment de l'espai urbà,4585324,431101,2.175558,30,EMAIL,6,Enllumenat públic,40,1,Carrer,2016,11,TELÈFON,Telègraf,35,44,SUGGERIMENT,2
8,Nou Barris,2017,Vorera incidències,Verdun,1125844,41.443403,Manteniment de l'espai urbà,4588308,431217,2.176609,30,EMAIL,86,Voreres,76,1,Carrer,2016,11,WEB,Viladrosa,51,45,INCIDENCIA,2
8,Nou Barris,2017,Vorera incidències,la Trinitat Nova,1125847,41.447694,Manteniment de l'espai urbà,4588777,432032,2.186311,30,EMAIL,5,Voreres,105,1,Carrer,2016,11,TELÈFON,Pedrosa,53,46,INCIDENCIA,2
8,Nou Barris,2017,Pilones nova pilona,Porta,1125850,41.430325,Manteniment de l'espai urbà,4586852,431678,2.18229,1,CARTA,118,Pilones,20,1,Passeig,2016,12,TELÈFON,Fabra i Puig,45,47,SUGGERIMENT,2
8,Nou Barris,2017,Vorera incidències,Vilapicina i la Torre Llobeta,1125848,41.428707,Manteniment de l'espai urbà,4586680,430791,2.171689,1,EMAIL,14,Voreres,7,1,Carrer,2016,12,WEB,Serrano,44,48,INCIDENCIA,2
6,Gràcia,2017,Repartidors,el Camp d'en Grassot i Gràcia Nova,1125810,,Prevenció i seguretat,,,,1,EMAIL,,Molèsties soroll a la via pública,77,1,,2016,12,TELÈFON,,32,49,QUEIXA,2
,,2017,Atenció Serveis Socials a persones sense sostre,,1126013,,Serveis socials,,,,2,EMAIL,,Problemàtiques socials a l'espai públic,,1,,2016,12,TELÈFON,,,50,SUGGERIMENT,2
8,Nou Barris,2017,Més presència als carrers,el Turó de la Peira,1126028,,Prevenció i seguretat,,,,2,EMAIL,,Actuació guàrdia urbana,43,1,,2016,12,TELÈFON,,46,51,SUGGERIMENT,2
8,Nou Barris,2017,Vorera incidències,Vilapicina i la Torre Llobeta,1126008,41.428956,Manteniment de l'espai urbà,4586711,430478,2.167947,2,NO VOL RESPOSTA,134,Voreres,4,1,Carrer,2016,12,TELÈFON,Cartellà,44,52,INCIDENCIA,2
